Name,Length,Thickness,Tension,Moment,Shear,Rebar Size,Rebar Spacing,Layers,DCR
1ST FLOOR_P-S6.2-1,24,7.50,18.7,20.9,9.4,#5,@ 72.0'',(2),0.41
1ST FLOOR_P-S6.3-1,50,5.20,-11.2,56.4,21.6,#5,@ 72.0'',(2),0.71
1ST FLOOR_P-S6.3-2,67,5.20,-30.0,82.4,17.3,#5,@ 72.0'',(2),0.52
1ST FLOOR_P-S6.7-1,175,5.20,-45.4,876.8,130.2,#5,@ 72.0'',(2),1.14
1ST FLOOR_P-S7-1,415,6.53,67.4,11732.0,242.2,#5,@ 72.0'',(2),0.90
1ST FLOOR_P-S7-2,72,7.50,-49.6,547.2,153.0,#5,@ 72.0'',(2),2.44
1ST FLOOR_P-S7-3,320,7.50,-50.5,1728.7,421.9,#5,@ 72.0'',(2),1.14
1ST FLOOR_P-S7-4,903,7.05,-104.1,10556.5,744.1,#5,@ 72.0'',(2),0.83
1ST FLOOR_P-S10.1-1,336,11.60,50.8,1264.6,189.5,#5,@ 72.0'',(2),0.25
1ST FLOOR_P-N12.1-1,128,11.60,22.9,68.5,52.2,#5,@ 72.0'',(2),0.17
1ST FLOOR_P-S13-1,216,7.60,76.9,1623.8,237.5,#4,@ 24.0'',(1),0.78
1ST FLOOR_P-S13-2,258,7.60,94.6,3109.6,238.7,#4,@ 24.0'',(1),0.72
1ST FLOOR_P-S13.5-1,138,7.60,51.1,505.4,80.2,#4,@ 24.0'',(1),0.44
1ST FLOOR_P-S13.7-1,128,11.60,-15.7,104.8,84.4,#5,@ 72.0'',(2),0.29
1ST FLOOR_P-S14-1,264,11.60,-122.8,1624.4,629.6,#5,@ 72.0'',(2),1.09
1ST FLOOR_P-S14-3,1773,11.23,287.1,52476.2,2670.2,#5,@ 72.0'',(2),0.89
1ST FLOOR_P-L-1,300,11.60,44.8,473.5,42.5,#5,@ 72.0'',(2),0.07
1ST FLOOR_P-K-1,735,11.60,187.4,2549.6,157.2,#5,@ 72.0'',(2),0.10
1ST FLOOR_P-K-2,528,11.60,155.2,1652.3,210.7,#5,@ 72.0'',(2),0.17
1ST FLOOR_P-K-3,748,11.60,129.3,4410.0,111.6,#5,@ 72.0'',(2),0.08
1ST FLOOR_P-K-4,2104,11.60,458.7,13942.3,379.6,#5,@ 72.0'',(2),0.08
1ST FLOOR_P-J-1,36,11.60,-114.9,139.5,61.0,#5,@ 72.0'',(2),1.84
1ST FLOOR_P-J-2,36,11.60,-6.6,108.2,33.8,#5,@ 72.0'',(2),0.64
1ST FLOOR_P-J-3,303,11.60,181.5,497.7,110.4,#5,@ 72.0'',(2),0.15
1ST FLOOR_P-J-4,519,11.60,109.6,4376.0,198.5,#5,@ 72.0'',(2),0.19
1ST FLOOR_P-H.8-1,213,7.60,-24.0,257.5,46.3,#4,@ 24.0'',(1),0.16
1ST FLOOR_P-H.3-1,30,7.60,-6.6,46.7,21.0,#4,@ 24.0'',(1),0.72
1ST FLOOR_P-H.3-2,107,7.60,-31.7,35.1,21.6,#4,@ 24.0'',(1),0.15
1ST FLOOR_P-H.2-1,121,7.50,78.7,58.8,20.7,#5,@ 72.0'',(2),0.13
1ST FLOOR_P-H.2-2,210,7.50,131.6,175.3,38.6,#5,@ 72.0'',(2),0.14
1ST FLOOR_P-H.2-3,415,7.50,205.7,395.4,59.4,#5,@ 72.0'',(2),0.11
1ST FLOOR_P-H-01,166,7.50,69.2,79.5,20.7,#5,@ 72.0'',(2),0.08
1ST FLOOR_P-H-02,162,7.50,102.0,63.0,19.3,#5,@ 72.0'',(2),0.07
1ST FLOOR_P-H-03,266,7.50,203.8,304.0,17.4,#5,@ 72.0'',(2),0.05
1ST FLOOR_P-H-04,666,7.50,331.9,1918.2,48.6,#5,@ 72.0'',(2),0.06
1ST FLOOR_P-H-05,91,7.50,82.4,63.2,14.1,#5,@ 72.0'',(2),0.12
1ST FLOOR_P-H-06,283,7.50,240.1,333.6,40.6,#5,@ 72.0'',(2),0.10
1ST FLOOR_P-H-07,192,7.50,194.6,133.5,38.3,#5,@ 72.0'',(2),0.14
1ST FLOOR_P-H-08,336,7.50,197.3,579.1,107.3,#5,@ 72.0'',(2),0.23
1ST FLOOR_P-H-09,85,7.50,9.3,126.5,39.6,#5,@ 72.0'',(2),0.35
1ST FLOOR_P-H-10,1329,7.50,710.1,18362.6,187.0,#5,@ 72.0'',(2),0.13
1ST FLOOR_P-G.8-1,107,7.60,16.4,22.5,14.1,#4,@ 24.0'',(1),0.08
1ST FLOOR_P-G-01,113,7.60,20.3,93.4,100.9,#4,@ 24.0'',(1),0.58
1ST FLOOR_P-G-02,231,7.50,11.6,140.1,32.7,#5,@ 72.0'',(2),0.12
1ST FLOOR_P-G-03,372,7.50,-53.4,1664.9,139.7,#5,@ 72.0'',(2),0.32
